Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;
3533700;Interior;Ocauçu;41;0;;
3533809;Interior;Óleo;6;0;;
3533908;Interior;Olímpia;2797;72;;
3534005;Interior;Onda Verde;250;4;;
3534104;Interior;Oriente;95;4;;
3534203;Interior;Orindiúva;322;5;;
3534302;Interior;Orlândia;1157;40;;
3534401;RMSP (exceto capital);Osasco;16546;889;;
3534500;Interior;Oscar Bressane;26;0;;
3534609;Interior;Osvaldo Cruz;342;11;;
3534708;Interior;Ourinhos;2371;48;;
3534757;Interior;Ouroeste;349;6;;
3534807;Interior;Ouro Verde;72;0;;
3534906;Interior;Pacaembu;391;9;;
3535002;Interior;Palestina;156;7;;
3535101;Interior;Palmares Paulista;428;15;;
3535200;Interior;Palmeira d'Oeste;248;6;;
3535309;Interior;Palmital;532;8;;
3535408;Interior;Panorama;147;7;;
3535507;Interior;Paraguaçu Paulista;756;17;;
3535606;Interior;Paraibuna;209;11;;
3535705;Interior;Paraíso;170;4;;
3535804;Interior;Paranapanema;241;3;;
3535903;Interior;Paranapuã;132;6;;
3536000;Interior;Parapuã;125;4;;
3536109;Interior;Pardinho;212;1;;
3536208;Interior;Pariquera-Açu;891;15;;
3536257;Interior;Parisi;121;6;;
3536307;Interior;Patrocínio Paulista;199;8;;
3536406;Interior;Paulicéia;71;2;;
3536505;Interior;Paulínia;5904;90;;
3536570;Interior;Paulistânia;12;0;;
3536604;Interior;Paulo de Faria;218;3;;
3536703;Interior;Pederneiras;964;18;;
3536802;Interior;Pedra Bela;103;1;;
3536901;Interior;Pedranópolis;74;2;;
3537008;Interior;Pedregulho;101;2;;
3537107;Interior;Pedreira;646;9;;
3537156;Interior;Pedrinhas Paulista;28;1;;
3537206;Interior;Pedro de Toledo;100;7;;
3537305;Interior;Penápolis;1588;40;;
3537404;Interior;Pereira Barreto;397;9;;
3537503;Interior;Pereiras;240;1;;
3537602;Interior;Peruíbe;1332;45;;
3537701;Interior;Piacatu;125;1;;
3537800;Interior;Piedade;1055;42;;
3537909;Interior;Pilar do Sul;351;8;;
3538006;Interior;Pindamonhangaba;2773;56;;
3538105;Interior;Pindorama;634;17;;
3538204;Interior;Pinhalzinho;158;2;;
3538303;Interior;Piquerobi;47;0;;
3538501;Interior;Piquete;172;3;;
3538600;Interior;Piracaia;560;6;;
3538709;Interior;Piracicaba;16274;384;;
3538808;Interior;Piraju;311;8;;
3538907;Interior;Pirajuí;702;10;;
3539004;Interior;Pirangi;394;16;;
3539103;RMSP (exceto capital);Pirapora do Bom Jesus;690;8;;
3539202;Interior;Pirapozinho;1045;23;;
3539301;Interior;Pirassununga;1918;36;;
3539400;Interior;Piratininga;367;11;;
3539509;Interior;Pitangueiras;1461;35;;
3539608;Interior;Planalto;208;3;;
3539707;Interior;Platina;70;0;;
3539806;RMSP (exceto capital);Poá;2438;122;;
3539905;Interior;Poloni;104;3;;
3540002;Interior;Pompéia;193;4;;
3540101;Interior;Pongaí;124;6;;
3540200;Interior;Pontal;1625;53;;
3540259;Interior;Pontalinda;80;5;;
3540309;Interior;Pontes Gestal;143;4;;
3540408;Interior;Populina;66;3;;
3540507;Interior;Porangaba;67;0;;
3540606;Interior;Porto Feliz;1495;19;;
3540705;Interior;Porto Ferreira;1420;39;;
3540754;Interior;Potim;335;8;;
3540804;Interior;Potirendaba;690;12;;
3540853;Interior;Pracinha;96;0;;
3540903;Interior;Pradópolis;812;23;;
3541000;Interior;Praia Grande;8816;297;;
3541059;Interior;Pratânia;65;2;;
